	audio_id	sentence	BitsPerSample	durationMsec	sampleRate
0	221102-102320_nya_510_elicit_0.wav	wosewera mpira wina akungoyang ana mosowa chochita wina amalumpha ndikuwombera mpirawo kupita kudengu 	16	10595	16000
1	221102-102320_nya_510_elicit_1.wav	munthu wa jersey yoyera akuyesa kugoletsa ndipo mdani wake akufuna kugwira mpira 	16	7963	16000
2	221102-102320_nya_510_elicit_2.wav	mwana wamng ono wovala mathalauza abuluu akuthawa moto chakuseri 	16	7350	16000
3	221102-102320_nya_510_elicit_3.wav	wosewera mpira waima ndi mpira kumbali pamene osewera ena akukwera mubwalo 	16	7940	16000
4	221102-102320_nya_510_elicit_4.wav	ana atatu amaima pampando kusonyeza malo oyamba achiwiri ndi achitatu 	16	8235	16000
5	221102-102320_nya_510_elicit_5.wav	agalu awiri oyera ofanana ndi mawanga ofiirira amalimbana pa mchenga wakuda wa jeti 	16	8008	16000
6	221102-102320_nya_510_elicit_6.wav	mwana wovala zovala zofiira ndi zakuda zachisanu akubisala kuseri kwa linga la matalala 	16	8734	16000
7	221102-102320_nya_510_elicit_7.wav	azimayi awiri ovala madiresi ndi zidendene akuyang ana pansi pa magetsi olendewera pamsewu 	16	9778	16000
8	221102-102320_nya_510_elicit_8.wav	bakha woyera akutambasula mapiko ake atakhala pamadzi 	16	5989	16000
9	221102-102320_nya_510_elicit_9.wav	mtsikana akuyang ana pa bolodi lake ndikulingalira zomwe angachite 	16	6647	16000
10	221102-102320_nya_510_elicit_10.wav	mayi wina ali m khichini akuyeretsa mapazi ake pa choduladula ndi thaulo lofiira kapena epuloni yofiira mwamuna wake ataima pamenepo 	16	12228	16000
11	221102-102320_nya_510_elicit_11.wav	wopulumutsa anthu wokhala ndi chipewa ndi kabudula wofiira atakhala panjanji akuyang ana madzi 	16	8598	16000
12	221102-102320_nya_510_elicit_12.wav	bambo wina wovala malaya ofiirira akujambula vidiyo mayi wina atavala malaya abuluu amene wakhala mumsewu atabisa nkhope yake 	16	11230	16000
13	221102-102320_nya_510_elicit_13.wav	munthu wandevu wakhala ali ndi maso otseka ndipo pakamwa pake pampando wandege 	16	8848	16000
14	221102-102320_nya_510_elicit_14.wav	ndikhala liti kutsogolo chifukwa ndimadana nalo lamba 	16	6057	16000
15	221102-102320_nya_510_elicit_15.wav	anyamata awiri ovala malaya akukwera kumbuyo kwa boti ndi siketi yalalanje 	16	8462	16000
16	221102-102320_nya_510_elicit_16.wav	galu wakuda ndi wakhungu wokhala ndi chinthu mkamwa mu chipale chofewa 	16	7305	16000
17	221102-102320_nya_510_elicit_17.wav	kutsekeka kwa nkhope ya galu woyera atanyamula ndodo mkamwa mwake 	16	7237	16000
18	221102-102320_nya_510_elicit_18.wav	ana anayi akudumpha m dziwe losambira awiri okha atavala mapiko amadzi 	16	8621	16000
19	221102-102320_nya_510_elicit_19.wav	ana anayi ovala mwansangala amakhala pafupi ndi khoma la simenti atakutidwa ndi bulangeti labuluu 	16	9959	16000
20	221102-102320_nya_510_elicit_20.wav	wokwera miyala atavala suti ya santa akulendewera pa chingwe cha nyali za khrisimasi 	16	8780	16000
21	221102-102320_nya_510_elicit_21.wav	gulu la anthu okhala m tauni onse akuyang ana mbali imodzi 	16	5603	16000
22	221102-102320_nya_510_elicit_22.wav	bambo atakhala pa sofa atagwira mwana wawo wamkazi ndi mwana wawo wamkazi akumwetulira ndi kamera 	16	10300	16000
23	221102-102320_nya_510_elicit_23.wav	bambo wina wovala jekete lofiira ali pamphambano atanyamula chikwama m dzanja lake lamanja pamene ma taxi akudutsa mumsewu 	16	10958	16000
24	221102-102320_nya_510_elicit_24.wav	mayi wina wachikulire akuyenda m njira atanyamula matumba awiri oyera 	16	7191	16000
25	221102-102320_nya_510_elicit_25.wav	mwamuna wooneka wosangalala watsitsi lalitali wovala magalasi m maso ndi zovala zokongola kwambiri ndi chipewa waima kutsogolo kwa makwerero 	16	12818	16000
26	221102-102320_nya_510_elicit_26.wav	agalu awiri akuda akuthamanga pa chipale chofewa akuluma chinthu chofiira ndi chalalanje 	16	8462	16000
27	221102-102320_nya_510_elicit_27.wav	kabaku akuthamangitsa khoswe pamene akuthawa mu udzu 	16	7146	16000
28	221102-102320_nya_510_elicit_28.wav	ana awiriwa ndi mwana wovala malaya apinki azunguliridwa ndi zoseweretsa 	16	8280	16000
29	221102-102320_nya_510_elicit_29.wav	anthu atatu atakhala mozungulira tebulo akuyang ana mayi wina akugwedeza madzi obiriwira 	16	8122	16000
30	221102-102320_nya_510_elicit_30.wav	bambo wina wachikulire atavala magalasi abuluu m mutu mwake ataima pafupi ndi gulu la anthu ena atavala zida zosambira 	16	11071	16000
31	221102-102320_nya_510_elicit_31.wav	amuna ndi akazi ovala masuti osamba aima pafupi ndi dziwe pamene wosambira wina ali m madzi 	16	8893	16000
32	221102-102320_nya_510_elicit_32.wav	mwamuna wina watsitsi lakuda wovala malaya abuluu ndi thalauza lofiirira wakhala pampando m chipinda chokhala ndi matailosi pakhoma 	16	14610	16000
