220813-165251_loz_969_elicit_0	ha sa li siya feela nja ya ineela ku ca nama yeo 
220813-165251_loz_969_elicit_1	mulen a zona ha fita a tonda nama mi a li buza a halifileali 
220813-165251_loz_969_elicit_2	nama ya ka i cilwe ki mañi haiy o fateni 
220813-165251_loz_969_elicit_3	nja ya alaba ka mukwa o bonahaza kuli ne i komokile 
220813-165251_loz_969_elicit_4	konji haiba i ngilwe ha ne ni nze ni bapala kwande ni luwawa 
220813-165251_loz_969_elicit_5	luwawa iwa halifa hahulu ha lu utwa cwalo mi iwa li ku nja u bulela maaka ki wena ya i cile ni nze ni ku bona 
220813-165251_loz_969_elicit_6	a mu bone malen a ka ki yo u sa tampakani mali kwa mulomo 
220813-165251_loz_969_elicit_7	munna yoo ki ha se a kwaula nja mi a i nata habutuku 
220813-165251_loz_969_elicit_8	nja ya nyemela hahulu luwawa bakeni sa taba yeo 
220813-165251_loz_969_elicit_9	mi hamulahonyana nja ya nyisa luwawa ya lu leleka mwa hae mi ya lu tobosa kuli i ta lu luma hahulu haiba lu kutela mwa hae 
220813-165251_loz_969_elicit_10	ku zwa foo luwawa iwa saba ku pila ninja 
220813-165251_loz_969_elicit_11	mi ni yona nja i itamile ku lelekisa luwawa ni ku lu bulaya ha i lu swala 
220813-165251_loz_969_elicit_12	kakuli i sa hupula matibili a yona a na tahisizwe ki busawana bwa luwawa 
220813-165251_loz_969_elicit_13	ku bonahaza butoto kuli tou butuna bwa yona ni maata a yona i saba peba kono ki niti 
220813-165251_loz_969_elicit_14	batu ba bañwi ba li tou i saba peba kakuli i hupula kuli peba i ta kena mwa munwana wa yona ni ku i pulumukisa 
220813-165251_loz_969_elicit_15	ku tahile cwana ka nako ye nwi tou ne i na ni limbongola le ne li pala ku fola kwa liutu 
220813-165251_loz_969_elicit_16	ibile zazi le liñwi peba ya bona tou i swabile ka baka la butuku bwa limbongola leo 
220813-165251_loz_969_elicit_17	mawe bo tou mu swabisizwe kin kwa buza peba 
220813-165251_loz_969_elicit_18	ki ha tou i bulelela peba bakeni sa maswenycho a yona 
220813-165251_loz_969_elicit_19	peba ya li ni ta lika ku mi tusa 
220813-165251_loz_969_elicit_20	mi kapilipili ya kala ku alafa sitombo seo 
220813-165251_loz_969_elicit_21	ne ku si ka fita mazazi a mañata liutu la tou la ba mbubombubo mi tou ya sepisa ku lifa peba bakeni sa buikatazo bwa yona 
220813-165251_loz_969_elicit_22	mi peba ha i to shongolola kwa mulatu wa yona tou ya i bulelela kuli i te i tahe zazi li sili 
220813-165251_loz_969_elicit_23	mi tou ya picauka cwalo ka mazazi a manata 
220813-165251_loz_969_elicit_24	ni wale tou ka ku sa sepahala ya saba ha i bona peba kakuli i hupula kuli i ka i buza mulatu wa yona 
220813-165251_loz_969_elicit_25	kwa kale kale tutwa ne i na ni mulala o mukuswani sina wa sukulu 
220813-165251_loz_969_elicit_26	zazi le liñwi tutwa ha i katana mulikan a yona sukulu ya mu bulelela kuli bucwañi ne bu baba 
220813-165251_loz_969_elicit_27	sukulu ya lumela mi ya li lifolofolo ki ze nata hahulu ze bu hatikela 
220813-165251_loz_969_elicit_28	mi ni sepa kuli ne kaba bunde kuli lu cange matali a manca a kwa njongonjongo ya likota 
220813-165251_loz_969_elicit_29	a lu kupe mulikan a luna mutu kuli a lu tuse 
220813-165251_loz_969_elicit_30	ba kala ku bata mutu 
220813-165251_loz_969_elicit_31	kwa nalule lule za mu fumana mi za mu taluseza mapalelwi a zona kaufela 
220813-165251_loz_969_elicit_32	hal ha mutu a seha foo ku bunolo 
220813-165251_loz_969_elicit_33	mu yo kuta kamuso musihali mi ni ka to mi fa mulyani o ta fetula mahutu ni milala 
220813-165251_loz_969_elicit_34	ya mina butelele kuli mu kone ku fita kwa njongo njongo ya likota 
220813-165251_loz_969_elicit_35	ha busa tutwa ya fita ka nako ye ne tomilwe 
220813-165251_loz_969_elicit_36	ki ha mutu a fa tutwa mulyani kaufela mi tutwa ha i nze i ca mulyani 
220813-165251_loz_969_elicit_37	mautu ni mulala wa yona za hula kuli mane ya kona ku ca ndepundepu ye kwa halimw a likota 
220813-165251_loz_969_elicit_38	ha ku se ku fitile nako ye telele sukulu ya fita kono ya fumana kuli mulyani u felile 
220813-165251_loz_969_elicit_39	sukulu ya hupula kuli mutu na puma mi ya fela hahulu pilu 
220813-165251_loz_969_elicit_40	ku tuha foo sukulu i toile hahulu mutu kuli mane ha i mu katana mwa macacani haisi kuli i mu matise 
220813-165251_loz_969_elicit_41	kale kale kwa simuluho liñau ne li swana ni tau kwa mubala 
220813-165251_loz_969_elicit_42	mi liñau ne li swabile hahulu ku bona kuli ne si le linde sina tutwa ni pizi ya mwa naheni 
220813-165251_loz_969_elicit_43	kono ne li si ka zibisa lifolofolo ze nwi 
220813-165251_loz_969_elicit_44	ka zazi le linwi liñau ha li nze li pota pota la katana noha 
220813-165251_loz_969_elicit_45	noha ya li mawe liñau ha ni i kutwi hande mi a ni na mutusi 
220813-165251_loz_969_elicit_46	linau la li ha ku makazi u sibupiwa se si situhu se si sabwa ki lifolofolo kaufela 
220813-165251_loz_969_elicit_47	kono kakuli wa kula ni ka ku tusa hona fa feela 
220813-165251_loz_969_elicit_48	liñau la kulisa noha ku fitela mane ya tuscha 
220813-165251_loz_969_elicit_49	ka kutisa buitumelo noha ya li ni ka ku fa s o lata kaufela ili ku itebuha bakeni sa musa wa hao 
220928-035559_loz_0da_elicit_0	ba funduka kono nongolo a n2 a tantalika tantalika 
220928-035559_loz_0da_elicit_1	ba sa sutelela feela kwa musindi kamuyongole a bulelela wa habo kuli ba silele ku sili kakuli kona ba ta fita kapili 
220928-035559_loz_0da_elicit_2	nongolo na kozwi luli kuli kamuyongole na na ni ku mu zamaya mwa mulaho kuli a mu soteze ni ku mu sebeza hande 
220928-035559_loz_0da_elicit_3	ha ba se ba fitile kwa musindi kamuyongole a talima kafa ni kafa mi ha kuna sa na boni konji feela bucwañi likota ni musindi 
220928-035559_loz_0da_elicit_4	ka putako a nanula silamu tuna sa na iwezi a nata nongolo mwa likoshi ka mata a lilimo ze 21 kaufela 
220928-035559_loz_0da_elicit_5	nongolo a wela fafasi a huwa iwa mafelelezo a li mawe se ni ku cezi kamu yongole mubupi u ta ku fa sona 
220928-035559_loz_0da_elicit_6	kono a fumana kuli u ta zuha 
220928-035559_loz_0da_elicit_7	ka pilu ya tau a itima fa meto ibe a mu pinda wa zebe ku mu feleleza 
220928-035559_loz_0da_elicit_8	a feza ku eza musebezi o0 o maswe cwalo a hohela nongolo mwa sileze ni ku mu kwahela mwa teni 
220928-035559_loz_0da_elicit_9	a tungisa kuli a sike a bonahala kapili 
220928-035559_loz_0da_elicit_10	kamuyongole ya s a li mubulai wa niti a tapa mali ni ku tapisa liapalo za hae fo ne li lotezi 
220928-035559_loz_0da_elicit_11	ki mali kona a mbwambwama mwa mezi ka bomu kuli a te a yo li na wezi mwa mezi ka baka la mutoho 
220928-035559_loz_0da_elicit_12	ha felize zeo a ya kwa mota kono sabo ni lizwalo za mu swala ka tata kuli ni tutoho twa na nwile twa ku puma puma twa fela 
220928-035559_loz_0da_elicit_13	muzamaisi a li kanti na na funduka ha ni koni ku bulaiseza batu tala mwa naheñi ka baka la sikuba silisinwi 
220928-035559_loz_0da_elicit_14	a ki yo ya na ni ngana yena u kutile 
220928-035559_loz_0da_elicit_15	njolo ha utwa cwalo a lila kono ha kuna ya ma ziba kuli wa silisa konji kamuyongole 
220928-035559_loz_0da_elicit_16	u ka yo mi fumana ku yena munn a mina 
220928-035559_loz_0da_elicit_17	ha ba fita fa mulobezi njolo a hana ku siala ku nyangela i li yena munyan a muzamaisi 
